checking account,duration in month,credit history,credit purpose,credit amount,savings account,employment since..,installment rate,status : sex,other debtors / guarantors,residence since,property,relationship : age,other installment plans,housing,existing credits,job,people to provide maintenance for,telephone,foreign worker,goodness
none,21,existing AND duly paid,car (used),5248,unknown OR no savings account,1 <= ... < 4y,1,male : single,none,3,car OR other,26,none,own,1,skilled employed OR official ,1,no,yes,1
none,15,existing AND duly paid,car (used),3029, ... < 100,4 <= ... < 7y,2,male : single,none,2,car OR other,33,none,own,1,skilled employed OR official ,1,no,yes,1
negative,6,existing AND duly paid,furniture,428, ... < 100,7y <= ...,2,female : married OR separated OR divorced,none,1,society savings agreement OR life insurance,49,bank,own,1,skilled employed OR official ,1,yes,yes,1
negative,18,existing AND duly paid,car (new),976, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,2,car OR other,23,none,own,1,unskilled - resident,1,no,yes,2
 0 <= ... <= 200,12,existing AND duly paid,business,841,100 <= ... < 500,4 <= ... < 7y,2,female : married OR separated OR divorced,none,4,real estate,23,none,rent,1,unskilled - resident,1,no,yes,1
none,30,critical account,radio OR tv,5771, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,none,2,car OR other,25,none,own,2,skilled employed OR official ,1,no,yes,1
none,12,delayed,repairs,1555,1000 <= ...,7y <= ...,4,male : single,none,4,none OR unknown,55,none,for free,2,skilled employed OR official ,2,no,yes,2
negative,24,existing AND duly paid,car (new),1285,unknown OR no savings account,4 <= ... < 7y,4,female : married OR separated OR divorced,none,4,none OR unknown,32,none,rent,1,skilled employed OR official ,1,no,yes,2
200 < ...,6,critical account,car (new),1299, ... < 100,1 <= ... < 4y,1,male : single,none,1,real estate,74,none,own,3,unemployed OR unskilled - non-resident,2,no,no,1
200 < ...,15,critical account,radio OR tv,1271,unknown OR no savings account,1 <= ... < 4y,3,male : single,none,4,none OR unknown,39,none,for free,2,skilled employed OR official ,1,yes,yes,2
none,24,existing AND duly paid,car (new),1393, ... < 100,1 <= ... < 4y,2,male : single,guarantor,2,real estate,31,none,own,1,skilled employed OR official ,1,yes,yes,1
negative,12,critical account,car (new),691, ... < 100,7y <= ...,4,male : single,none,3,society savings agreement OR life insurance,35,none,own,2,skilled employed OR official ,1,no,yes,2
none,15,critical account,car (new),5045,unknown OR no savings account,7y <= ...,1,female : married OR separated OR divorced,none,4,car OR other,59,none,own,1,skilled employed OR official ,1,yes,yes,1
negative,18,critical account,furniture,2124, ... < 100,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,real estate,24,none,rent,2,skilled employed OR official ,1,no,yes,2
negative,12,existing AND duly paid,radio OR tv,2214, ... < 100,1 <= ... < 4y,4,male : single,none,3,society savings agreement OR life insurance,24,none,own,1,unskilled - resident,1,no,yes,1
none,21,critical account,car (new),12680,unknown OR no savings account,7y <= ...,4,male : single,none,4,none OR unknown,30,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
none,24,critical account,car (new),2463,100 <= ... < 500,4 <= ... < 7y,4,male : married,none,3,society savings agreement OR life insurance,27,none,own,2,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,12,existing AND duly paid,radio OR tv,1155, ... < 100,7y <= ...,3,male : married,guarantor,3,real estate,40,bank,own,2,unskilled - resident,1,no,yes,1
negative,30,existing AND duly paid,furniture,3108, ... < 100, ... < 1y,2,male : separated OR divorced,none,4,society savings agreement OR life insurance,31,none,own,1,unskilled - resident,1,no,yes,2
none,10,existing AND duly paid,car (used),2901,unknown OR no savings account, ... < 1y,1,female : married OR separated OR divorced,none,4,real estate,31,none,rent,1,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,critical account,furniture,3617, ... < 100,7y <= ...,1,male : single,none,4,car OR other,28,none,rent,3,skilled employed OR official ,1,yes,yes,1
none,12,critical account,radio OR tv,1655, ... < 100,7y <= ...,2,male : single,none,4,real estate,63,none,own,2,unskilled - resident,1,yes,yes,1
negative,24,existing AND duly paid,car (used),2812,unknown OR no savings account,7y <= ...,2,female : married OR separated OR divorced,none,4,real estate,26,none,rent,1,skilled employed OR official ,1,no,yes,1
negative,36,critical account,education,8065, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,2,none OR unknown,25,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
none,21,critical account,car (used),3275, ... < 100,7y <= ...,1,male : single,none,4,car OR other,36,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,24,critical account,radio OR tv,2223,100 <= ... < 500,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,52,bank,own,2,skilled employed OR official ,1,no,yes,1
200 < ...,12,critical account,car (new),1480,500 <= ... < 1000,unemployed,2,male : single,none,4,none OR unknown,66,bank,for free,3,unemployed OR unskilled - non-resident,1,no,yes,1
negative,24,existing AND duly paid,car (new),1371,unknown OR no savings account,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,real estate,25,none,rent,1,skilled employed OR official ,1,no,yes,2
none,36,critical account,car (new),3535, ... < 100,4 <= ... < 7y,4,male : single,none,4,car OR other,37,none,own,2,skilled employed OR official ,1,yes,yes,1
negative,18,existing AND duly paid,radio OR tv,3509, ... < 100,4 <= ... < 7y,4,female : married OR separated OR divorced,guarantor,1,real estate,25,none,own,1,skilled employed OR official ,1,no,yes,1
none,36,critical account,car (used),5711,1000 <= ...,7y <= ...,4,male : single,none,2,car OR other,38,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
 0 <= ... <= 200,18,existing AND duly paid,repairs,3872, ... < 100,unemployed,2,female : married OR separated OR divorced,none,4,car OR other,67,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,39,critical account,radio OR tv,4933, ... < 100,4 <= ... < 7y,2,male : single,guarantor,2,real estate,25,none,own,2,skilled employed OR official ,1,no,yes,2
none,24,critical account,car (new),1940,1000 <= ...,7y <= ...,4,male : single,none,4,real estate,60,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,12,none OR duly paid,retraining,1410, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,31,none,own,1,unskilled - resident,1,yes,yes,1
 0 <= ... <= 200,12,existing AND duly paid,car (new),836,100 <= ... < 500, ... < 1y,4,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,23,bank,own,1,unskilled - resident,1,no,yes,2
 0 <= ... <= 200,20,existing AND duly paid,car (used),6468,unknown OR no savings account,unemployed,1,male : separated OR divorced,none,4,real estate,60,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
 0 <= ... <= 200,18,existing AND duly paid,business,1941,1000 <= ...,1 <= ... < 4y,4,male : single,none,2,society savings agreement OR life insurance,35,none,own,1,unskilled - resident,1,yes,yes,1
none,22,existing AND duly paid,radio OR tv,2675,500 <= ... < 1000,7y <= ...,3,male : single,none,4,car OR other,40,none,own,1,skilled employed OR official ,1,no,yes,1
none,48,critical account,car (used),2751,unknown OR no savings account,7y <= ...,4,male : single,none,3,car OR other,38,none,own,2,skilled employed OR official ,2,yes,yes,1
 0 <= ... <= 200,48,delayed,education,6224, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,50,none,for free,1,skilled employed OR official ,1,no,yes,2
negative,40,critical account,education,5998, ... < 100,1 <= ... < 4y,4,male : single,none,3,none OR unknown,27,bank,own,1,skilled employed OR official ,1,yes,yes,2
 0 <= ... <= 200,21,existing AND duly paid,business,1188, ... < 100,7y <= ...,2,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,39,none,own,1,skilled employed OR official ,2,no,yes,2
none,24,existing AND duly paid,car (used),6313,unknown OR no savings account,7y <= ...,3,male : single,none,4,car OR other,41,none,own,1,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
none,6,critical account,furniture,1221,unknown OR no savings account,1 <= ... < 4y,1,male : married,none,2,society savings agreement OR life insurance,27,none,own,2,skilled employed OR official ,1,no,yes,1
200 < ...,24,existing AND duly paid,furniture,2892, ... < 100,7y <= ...,3,male : separated OR divorced,none,4,none OR unknown,51,none,for free,1,skilled employed OR official ,1,no,yes,1
none,24,existing AND duly paid,furniture,3062,500 <= ... < 1000,7y <= ...,4,male : single,none,3,none OR unknown,32,none,rent,1,skilled employed OR official ,1,yes,yes,1
none,9,existing AND duly paid,furniture,2301,100 <= ... < 500, ... < 1y,2,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,22,none,rent,1,skilled employed OR official ,1,no,yes,1
negative,18,existing AND duly paid,car (used),7511,unknown OR no savings account,7y <= ...,1,male : single,none,4,society savings agreement OR life insurance,51,none,for free,1,skilled employed OR official ,2,yes,yes,2
none,12,critical account,furniture,1258, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,22,none,rent,2,unskilled - resident,1,no,yes,1
none,24,delayed,car (new),717,unknown OR no savings account,7y <= ...,4,male : married,none,4,car OR other,54,none,own,2,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,9,existing AND duly paid,car (new),1549,unknown OR no savings account, ... < 1y,4,male : single,none,2,real estate,35,none,own,1,unemployed OR unskilled - non-resident,1,no,yes,1
none,24,critical account,education,1597, ... < 100,7y <= ...,4,male : single,none,4,none OR unknown,54,none,for free,2,skilled employed OR official ,2,no,yes,1
 0 <= ... <= 200,18,critical account,radio OR tv,1795, ... < 100,7y <= ...,3,female : married OR separated OR divorced,guarantor,4,real estate,48,bank,rent,2,unskilled - resident,1,yes,yes,1
negative,20,critical account,furniture,4272, ... < 100,7y <= ...,1,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,24,none,own,2,skilled employed OR official ,1,no,yes,1
none,12,critical account,radio OR tv,976,unknown OR no savings account,7y <= ...,4,male : single,none,4,car OR other,35,none,own,2,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,12,existing AND duly paid,car (new),7472,unknown OR no savings account,unemployed,1,female : married OR separated OR divorced,none,2,real estate,24,none,rent,1,unemployed OR unskilled - non-resident,1,no,yes,1
negative,36,existing AND duly paid,car (new),9271, ... < 100,4 <= ... < 7y,2,male : single,none,1,car OR other,24,none,own,1,skilled employed OR official ,1,yes,yes,2
 0 <= ... <= 200,6,existing AND duly paid,radio OR tv,590, ... < 100, ... < 1y,3,male : married,none,3,real estate,26,none,own,1,unskilled - resident,1,no,no,1
none,12,critical account,radio OR tv,930,unknown OR no savings account,7y <= ...,4,male : single,none,4,real estate,65,none,own,4,skilled employed OR official ,1,no,yes,1
 0 <= ... <= 200,42,duly paid,car (used),9283, ... < 100,unemployed,1,male : single,none,2,none OR unknown,55,bank,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
 0 <= ... <= 200,15,none OR duly paid,car (new),1778, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,1,real estate,26,none,rent,2,unemployed OR unskilled - non-resident,1,no,yes,2
 0 <= ... <= 200,8,existing AND duly paid,business,907, ... < 100, ... < 1y,3,male : married,none,2,real estate,26,none,own,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,6,existing AND duly paid,radio OR tv,484, ... < 100,4 <= ... < 7y,3,male : married,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,no,yes,1
negative,36,critical account,car (used),9629, ... < 100,4 <= ... < 7y,4,male : single,none,4,car OR other,24,none,own,2,skilled employed OR official ,1,yes,yes,2
negative,48,existing AND duly paid,domestic appliances,3051, ... < 100,1 <= ... < 4y,3,male : single,none,4,car OR other,54,none,own,1,skilled employed OR official ,1,no,yes,2
negative,48,existing AND duly paid,car (new),3931, ... < 100,4 <= ... < 7y,4,male : single,none,4,none OR unknown,46,none,for free,1,skilled employed OR official ,2,no,yes,2
 0 <= ... <= 200,36,delayed,car (new),7432, ... < 100,1 <= ... < 4y,2,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,54,none,rent,1,skilled employed OR official ,1,no,yes,1
none,6,existing AND duly paid,domestic appliances,1338,500 <= ... < 1000,1 <= ... < 4y,1,male : separated OR divorced,none,4,real estate,62,none,own,1,skilled employed OR official ,1,no,yes,1
none,6,critical account,radio OR tv,1554, ... < 100,4 <= ... < 7y,1,female : married OR separated OR divorced,none,2,car OR other,24,none,rent,2,skilled employed OR official ,1,yes,yes,1
negative,36,existing AND duly paid,other,15857, ... < 100,unemployed,2,male : separated OR divorced,co-applicant,3,car OR other,43,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,no,yes,1
negative,18,existing AND duly paid,radio OR tv,1345, ... < 100,1 <= ... < 4y,4,male : married,none,3,real estate,26,bank,own,1,skilled employed OR official ,1,no,yes,2
none,12,existing AND duly paid,car (new),1101, ... < 100,1 <= ... < 4y,3,male : married,none,2,real estate,27,none,own,2,skilled employed OR official ,1,yes,yes,1
200 < ...,12,existing AND duly paid,radio OR tv,3016, ... < 100,1 <= ... < 4y,3,male : married,none,1,car OR other,24,none,own,1,skilled employed OR official ,1,no,yes,1
negative,36,existing AND duly paid,furniture,2712, ... < 100,7y <= ...,2,male : single,none,2,society savings agreement OR life insurance,41,bank,own,1,skilled employed OR official ,2,no,yes,2
negative,8,critical account,car (new),731, ... < 100,7y <= ...,4,male : single,none,4,real estate,47,none,own,2,unskilled - resident,1,no,yes,1
none,18,critical account,furniture,3780, ... < 100, ... < 1y,3,male : separated OR divorced,none,2,car OR other,35,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,21,critical account,car (new),1602, ... < 100,7y <= ...,4,male : married,none,3,car OR other,30,none,own,2,skilled employed OR official ,1,yes,yes,1
negative,18,critical account,car (new),3966, ... < 100,7y <= ...,1,female : married OR separated OR divorced,none,4,real estate,33,bank,rent,3,skilled employed OR official ,1,yes,yes,2
none,18,none OR duly paid,business,4165, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,36,stores,own,2,skilled employed OR official ,2,no,yes,2
negative,36,existing AND duly paid,car (used),8335,unknown OR no savings account,7y <= ...,3,male : single,none,4,none OR unknown,47,none,for free,1,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,48,delayed,business,6681,unknown OR no savings account,1 <= ... < 4y,4,male : single,none,4,none OR unknown,38,none,for free,1,skilled employed OR official ,2,yes,yes,1
none,24,delayed,business,2375,500 <= ... < 1000,1 <= ... < 4y,4,male : single,none,2,car OR other,44,none,own,2,skilled employed OR official ,2,yes,yes,1
negative,18,existing AND duly paid,car (new),1216, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,3,car OR other,23,none,rent,1,skilled employed OR official ,1,yes,yes,2
negative,45,none OR duly paid,business,11816, ... < 100,7y <= ...,2,male : single,none,4,car OR other,29,none,rent,2,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,24,existing AND duly paid,radio OR tv,5084,unknown OR no savings account,7y <= ...,2,female : married OR separated OR divorced,none,4,car OR other,42,none,own,1,skilled employed OR official ,1,yes,yes,1
200 < ...,15,existing AND duly paid,radio OR tv,2327, ... < 100, ... < 1y,2,female : married OR separated OR divorced,none,3,real estate,25,none,own,1,unskilled - resident,1,no,yes,2
negative,12,none OR duly paid,car (new),1082, ... < 100,1 <= ... < 4y,4,male : single,none,4,car OR other,48,bank,own,2,skilled employed OR official ,1,no,yes,2
none,12,existing AND duly paid,radio OR tv,886,unknown OR no savings account,1 <= ... < 4y,4,female : married OR separated OR divorced,none,2,car OR other,21,none,own,1,skilled employed OR official ,1,no,yes,1
none,4,existing AND duly paid,furniture,601, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,3,real estate,23,none,rent,1,unskilled - resident,2,no,yes,1
negative,24,critical account,car (used),2957, ... < 100,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,63,none,own,2,skilled employed OR official ,1,yes,yes,1
none,24,critical account,radio OR tv,2611, ... < 100,7y <= ...,4,male : married,co-applicant,3,real estate,46,none,own,2,skilled employed OR official ,1,no,yes,1
negative,36,existing AND duly paid,furniture,5179, ... < 100,4 <= ... < 7y,4,male : single,none,2,society savings agreement OR life insurance,29,none,own,1,skilled employed OR official ,1,no,yes,2
none,21,delayed,car (used),2993, ... < 100,1 <= ... < 4y,3,male : single,none,2,real estate,28,stores,own,2,unskilled - resident,1,no,yes,1
none,18,existing AND duly paid,repairs,1943, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,real estate,23,none,own,1,skilled employed OR official ,1,no,yes,2
none,24,duly paid,business,1559, ... < 100,4 <= ... < 7y,4,male : single,none,4,car OR other,50,bank,own,1,skilled employed OR official ,1,yes,yes,1
none,18,existing AND duly paid,furniture,3422, ... < 100,7y <= ...,4,male : single,none,4,society savings agreement OR life insurance,47,bank,own,3,skilled employed OR official ,2,yes,yes,1
 0 <= ... <= 200,21,existing AND duly paid,furniture,3976,unknown OR no savings account,4 <= ... < 7y,2,male : single,none,3,car OR other,35,none,own,1,skilled employed OR official ,1,yes,yes,1
none,18,existing AND duly paid,car (new),6761,unknown OR no savings account,1 <= ... < 4y,2,male : single,none,4,car OR other,68,none,rent,2,skilled employed OR official ,1,no,yes,2
none,24,existing AND duly paid,car (new),1249, ... < 100, ... < 1y,4,male : married,none,2,real estate,28,none,own,1,skilled employed OR official ,1,no,yes,1
negative,9,existing AND duly paid,radio OR tv,1364, ... < 100,4 <= ... < 7y,3,male : single,none,4,real estate,59,none,own,1,skilled employed OR official ,1,no,yes,1
negative,12,existing AND duly paid,radio OR tv,709, ... < 100,7y <= ...,4,male : single,none,4,real estate,57,stores,own,1,unskilled - resident,1,no,yes,2
negative,20,critical account,car (new),2235, ... < 100,1 <= ... < 4y,4,male : married,guarantor,2,society savings agreement OR life insurance,33,bank,rent,2,skilled employed OR official ,1,no,no,2
none,24,critical account,car (used),4042,unknown OR no savings account,4 <= ... < 7y,3,male : single,none,4,society savings agreement OR life insurance,43,none,own,2,skilled employed OR official ,1,yes,yes,1
none,15,critical account,radio OR tv,1471, ... < 100,1 <= ... < 4y,4,male : single,none,4,none OR unknown,35,none,for free,2,skilled employed OR official ,1,yes,yes,1
negative,18,duly paid,car (new),1442, ... < 100,4 <= ... < 7y,4,male : single,none,4,none OR unknown,32,none,for free,2,unskilled - resident,2,no,yes,2
none,36,delayed,car (new),10875, ... < 100,7y <= ...,2,male : single,none,2,car OR other,45,none,own,2,skilled employed OR official ,2,yes,yes,1
none,24,existing AND duly paid,car (new),1474,100 <= ... < 500, ... < 1y,4,male : married,none,3,real estate,33,none,own,1,skilled employed OR official ,1,yes,yes,1
none,10,existing AND duly paid,retraining,894,unknown OR no savings account,4 <= ... < 7y,4,female : married OR separated OR divorced,none,3,society savings agreement OR life insurance,40,none,own,1,skilled employed OR official ,1,yes,yes,1
none,15,critical account,furniture,3343, ... < 100,1 <= ... < 4y,4,male : single,none,2,none OR unknown,28,none,for free,1,skilled employed OR official ,1,yes,yes,1
negative,15,existing AND duly paid,car (new),3959, ... < 100,1 <= ... < 4y,3,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,29,none,own,1,skilled employed OR official ,1,yes,yes,2
none,9,existing AND duly paid,car (new),3577,100 <= ... < 500,1 <= ... < 4y,1,male : single,guarantor,2,real estate,26,none,rent,1,skilled employed OR official ,2,no,no,1
none,24,critical account,car (used),5804,1000 <= ...,1 <= ... < 4y,4,male : single,none,2,real estate,27,none,own,2,skilled employed OR official ,1,no,yes,1
none,18,delayed,business,2169, ... < 100,1 <= ... < 4y,4,male : married,none,2,car OR other,28,none,own,1,skilled employed OR official ,1,yes,yes,2
negative,24,existing AND duly paid,radio OR tv,2439, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,real estate,35,none,own,1,skilled employed OR official ,1,yes,yes,2
none,27,critical account,furniture,4526,1000 <= ..., ... < 1y,4,male : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,yes,yes,1
none,10,existing AND duly paid,furniture,2210, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,no,yes,2
none,15,existing AND duly paid,furniture,2221,500 <= ... < 1000,1 <= ... < 4y,2,female : married OR separated OR divorced,none,4,car OR other,20,none,rent,1,skilled employed OR official ,1,no,yes,1
negative,18,existing AND duly paid,radio OR tv,2389, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,1,car OR other,27,stores,own,1,skilled employed OR official ,1,no,yes,1
none,12,critical account,furniture,3331, ... < 100,7y <= ...,2,male : single,none,4,society savings agreement OR life insurance,42,stores,own,1,skilled employed OR official ,1,no,yes,1
none,36,existing AND duly paid,business,7409,unknown OR no savings account,7y <= ...,3,male : single,none,2,society savings agreement OR life insurance,37,none,own,2,skilled employed OR official ,1,no,yes,1
negative,12,existing AND duly paid,furniture,652, ... < 100,7y <= ...,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,24,none,rent,1,skilled employed OR official ,1,no,yes,1
none,36,delayed,furniture,7678,500 <= ... < 1000,4 <= ... < 7y,2,female : married OR separated OR divorced,none,4,car OR other,40,none,own,2,skilled employed OR official ,1,yes,yes,1
200 < ...,6,critical account,car (new),1343, ... < 100,7y <= ...,1,male : single,none,4,real estate,46,none,own,2,skilled employed OR official ,2,no,no,1
negative,24,critical account,business,1382,100 <= ... < 500,4 <= ... < 7y,4,male : single,none,1,real estate,26,none,own,2,skilled employed OR official ,1,yes,yes,1
none,15,existing AND duly paid,domestic appliances,874,unknown OR no savings account, ... < 1y,4,female : married OR separated OR divorced,none,1,real estate,24,none,own,1,skilled employed OR official ,1,no,yes,1
negative,12,existing AND duly paid,furniture,3590, ... < 100,1 <= ... < 4y,2,male : single,co-applicant,2,society savings agreement OR life insurance,29,none,own,1,unskilled - resident,2,no,yes,1
 0 <= ... <= 200,11,critical account,car (new),1322,1000 <= ...,1 <= ... < 4y,4,female : married OR separated OR divorced,none,4,car OR other,40,none,own,2,skilled employed OR official ,1,no,yes,1
negative,18,duly paid,radio OR tv,1940, ... < 100, ... < 1y,3,male : single,co-applicant,4,none OR unknown,36,bank,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,36,existing AND duly paid,radio OR tv,3595, ... < 100,7y <= ...,4,male : single,none,2,car OR other,28,none,own,1,skilled employed OR official ,1,no,yes,1
negative,9,existing AND duly paid,car (new),1422, ... < 100, ... < 1y,3,male : single,none,2,none OR unknown,27,none,for free,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,2
none,30,critical account,radio OR tv,6742,unknown OR no savings account,4 <= ... < 7y,2,male : single,none,3,society savings agreement OR life insurance,36,none,own,2,skilled employed OR official ,1,no,yes,1
none,24,existing AND duly paid,car (used),7814, ... < 100,4 <= ... < 7y,3,male : single,none,3,car OR other,38,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,24,existing AND duly paid,car (used),9277,unknown OR no savings account,1 <= ... < 4y,2,male : separated OR divorced,none,4,none OR unknown,48,none,for free,1,skilled employed OR official ,1,yes,yes,1
 0 <= ... <= 200,30,critical account,car (new),2181,unknown OR no savings account,7y <= ...,4,male : single,none,4,real estate,36,none,own,2,skilled employed OR official ,1,no,yes,1
none,18,critical account,radio OR tv,1098, ... < 100,unemployed,4,female : married OR separated OR divorced,none,4,car OR other,65,none,own,2,unemployed OR unskilled - non-resident,1,no,yes,1
 0 <= ... <= 200,24,existing AND duly paid,furniture,4057, ... < 100,4 <= ... < 7y,3,male : separated OR divorced,none,3,car OR other,43,none,own,1,skilled employed OR official ,1,yes,yes,2
negative,12,existing AND duly paid,education,795, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,53,none,own,1,skilled employed OR official ,1,no,yes,2
 0 <= ... <= 200,24,critical account,business,2825,unknown OR no savings account,4 <= ... < 7y,4,male : single,none,3,none OR unknown,34,none,own,2,skilled employed OR official ,2,yes,yes,1
 0 <= ... <= 200,48,existing AND duly paid,business,15672, ... < 100,1 <= ... < 4y,2,male : single,none,2,car OR other,23,none,own,1,skilled employed OR official ,1,yes,yes,2
none,36,critical account,car (new),6614, ... < 100,7y <= ...,4,male : single,none,4,car OR other,34,none,own,2,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,28,duly paid,car (used),7824,unknown OR no savings account, ... < 1y,3,male : single,guarantor,4,real estate,40,bank,rent,2,skilled employed OR official ,2,yes,yes,1
negative,27,critical account,business,2442, ... < 100,7y <= ...,4,male : single,none,4,car OR other,43,stores,own,4,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
none,15,critical account,radio OR tv,1829, ... < 100,7y <= ...,4,male : single,none,4,car OR other,46,none,own,2,skilled employed OR official ,1,yes,yes,1
negative,12,critical account,car (new),2171, ... < 100,1 <= ... < 4y,4,male : single,none,4,society savings agreement OR life insurance,38,bank,own,2,unskilled - resident,1,no,no,1
 0 <= ... <= 200,36,critical account,car (used),5800, ... < 100,1 <= ... < 4y,3,male : single,none,4,car OR other,34,none,own,2,skilled employed OR official ,1,yes,yes,1
none,18,critical account,radio OR tv,1169,unknown OR no savings account,1 <= ... < 4y,4,male : single,none,3,society savings agreement OR life insurance,29,none,own,2,skilled employed OR official ,1,yes,yes,1
none,36,delayed,car (used),8947,unknown OR no savings account,4 <= ... < 7y,3,male : single,none,2,car OR other,31,stores,own,1,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
negative,21,existing AND duly paid,radio OR tv,2606, ... < 100, ... < 1y,4,female : married OR separated OR divorced,none,4,society savings agreement OR life insurance,28,none,rent,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
none,12,critical account,furniture,1592,1000 <= ...,4 <= ... < 7y,3,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,35,none,own,1,skilled employed OR official ,1,no,no,1
none,15,existing AND duly paid,furniture,2186,unknown OR no savings account,4 <= ... < 7y,1,female : married OR separated OR divorced,none,4,real estate,33,bank,rent,1,unskilled - resident,1,no,yes,1
negative,18,existing AND duly paid,furniture,4153, ... < 100,1 <= ... < 4y,2,male : single,co-applicant,3,car OR other,42,none,own,1,skilled employed OR official ,1,no,yes,2
negative,16,critical account,car (new),2625, ... < 100,7y <= ...,2,male : single,guarantor,4,society savings agreement OR life insurance,43,bank,rent,1,skilled employed OR official ,1,yes,yes,2
none,20,critical account,car (new),3485,unknown OR no savings account, ... < 1y,2,male : separated OR divorced,none,4,real estate,44,none,own,2,skilled employed OR official ,1,yes,yes,1
none,36,critical account,car (used),10477,unknown OR no savings account,7y <= ...,2,male : single,none,4,none OR unknown,42,none,for free,2,skilled employed OR official ,1,no,yes,1
none,15,existing AND duly paid,radio OR tv,1386,unknown OR no savings account,1 <= ... < 4y,4,male : married,none,2,real estate,40,none,rent,1,skilled employed OR official ,1,yes,yes,1
none,24,existing AND duly paid,radio OR tv,1278, ... < 100,7y <= ...,4,male : single,none,1,real estate,36,none,own,1,management OR self-employed OR highly qualified employee OR officer,1,yes,yes,1
negative,12,existing AND duly paid,radio OR tv,1107, ... < 100,1 <= ... < 4y,2,male : single,none,2,real estate,20,none,rent,1,management OR self-employed OR highly qualified employee OR officer,2,yes,yes,1
negative,21,existing AND duly paid,car (new),3763,unknown OR no savings account,4 <= ... < 7y,2,male : single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,no,no,1
 0 <= ... <= 200,36,existing AND duly paid,education,3711,unknown OR no savings account,1 <= ... < 4y,2,male : married,none,2,car OR other,27,none,own,1,skilled employed OR official ,1,no,yes,1
none,15,delayed,car (used),3594, ... < 100, ... < 1y,1,female : married OR separated OR divorced,none,2,society savings agreement OR life insurance,46,none,own,2,unskilled - resident,1,no,yes,1
 0 <= ... <= 200,9,existing AND duly paid,car (new),3195,unknown OR no savings account,1 <= ... < 4y,1,female : married OR separated OR divorced,none,2,real estate,33,none,own,1,unskilled - resident,1,no,yes,1
